site,block,plot,PD,PD_fac,rate,sample_date_standcounts,seedling_n,sample_date_groundcover,sp1_gc,sp2_gc,sp3_gc,Green canopy cover(%),sample_date_anthesis,sp1,sp2,sp3,rye biomass (dry),weed biomass (dry),rye_kg,weed_kg
VT,4,421,10/3/22,2.5,80,10/20/22,59,4/6/23,NA,NA,NA,74.14,5/30/23,NA,NA,NA,268.03,0,10721.2,0
VT,4,422,10/3/22,2.5,50,10/20/22,54,4/6/23,NA,NA,NA,69.92,5/30/23,NA,NA,NA,328.52,0,13140.8,0
VT,4,423,10/3/22,2.5,25,10/20/22,21,4/6/23,NA,NA,NA,20.26,5/30/23,NA,NA,NA,180.2,0,7208,0
VT,4,424,10/3/22,2.5,0,10/20/22,0,4/6/23,NA,NA,NA,0.23,5/30/23,lambsquarters,corn speedwell,crabgrass,0,4.7,0,188
VT,4,425,10/10/22,3,105,10/27/22,70,4/6/23,NA,NA,NA,44.39,5/30/23,NA,NA,NA,254.59,0,10183.6,0
VT,4,426,10/10/22,3,80,10/27/22,43,4/6/23,NA,NA,NA,38.14,5/30/23,shepherd's purse,NA,NA,232.38,1.9,9295.2,76
VT,4,427,10/10/22,3,25,10/27/22,38,4/6/23,NA,NA,NA,33.86,5/30/23,NA,NA,NA,290.61,0,11624.4,0
VT,4,428,10/10/22,3,50,10/27/22,45,4/6/23,NA,NA,NA,40.22,5/30/23,NA,NA,NA,317.11,0,12684.4,0
VT,4,429,10/10/22,3,15,10/27/22,13,4/6/23,NA,NA,NA,4.79,5/30/23,NA,NA,NA,123.98,0,4959.2,0
VT,4,430,10/10/22,3,0,10/27/22,0,4/6/23,NA,NA,NA,0.18,5/30/23,lambsquarters,shepherd's purse,NA,0,2.1,0,84
