site,year,block,plot,pd,pd_fac,rate,sample_date_standcounts,seedling_n,sample_date_groundcover,sp1_gc,sp2_gc,sp3_gc,canopy_cover,sample_date_anthesis,sp1,sp2,sp3,rye_g,weed_g,RCI_weeds,rye_kg,weed_kg,GDD_greenup,GDD_anthesis,soil_n,soil_pH,soil_p,soil_OM,rate.r
DE,2022,2,215,10/13/22,1,0,11/10/21,0,3/29/22,ERPVE,LAMAM,POAAN,3.86,5/12/22,na,na,na,0,na,na,0,na,1369.683519,2006.690112,na,na,na,na,0
DE,2022,3,317,10/13/22,1,0,11/10/21,0,3/29/22,ERPVE,LAMAM,STEME,3.21,5/12/22,na,na,na,0,na,na,0,na,1369.683519,2006.690112,na,na,na,na,0
DE,2022,4,418,10/13/22,1,0,11/10/21,0,3/29/22,STEME,ERPVE,LAMAM,7.39,5/12/22,na,na,na,0,na,na,0,na,1369.683519,2006.690112,na,na,na,na,0
DE,2022,1,116,11/2/22,2,0,12/2/21,0,3/29/22,ERPVE,LAMAM,OEOLA,4.05,5/12/22,na,na,na,0,na,na,0,na,948.4335185,1585.440112,na,na,na,na,0
DE,2022,2,203,11/2/22,2,0,12/2/21,0,3/29/22,ERPVE,LAMAM,HLOUM,4.15,5/12/22,na,na,na,0,na,na,0,na,948.4335185,1585.440112,na,na,na,na,0
DE,2022,3,304,11/2/22,2,0,12/2/21,0,3/29/22,ERPVE,LAMAM,na,3.57,5/12/22,na,na,na,0,na,na,0,na,948.4335185,1585.440112,na,na,na,na,0
DE,2022,4,403,11/2/22,2,0,12/2/21,0,3/29/22,ERPVE,STEME,LAMAM,3.44,5/12/22,na,na,na,0,na,na,0,na,948.4335185,1585.440112,na,na,na,na,0
DE,2022,1,108,11/17/22,3,0,12/13/21,0,3/29/22,ERPVE,LAMAM,HLOUM,5.28,5/12/22,na,na,na,0,na,na,0,na,813.6461547,1450.652748,na,na,na,na,0
DE,2022,2,210,11/17/22,3,0,12/13/21,0,3/29/22,ERPVE,LAMAM,HLOUM,3.89,5/12/22,na,na,na,0,na,na,0,na,813.6461547,1450.652748,na,na,na,na,0
DE,2022,3,308,11/17/22,3,0,12/13/21,0,3/29/22,ERPVE,LAMAM,POAAN,5.11,5/12/22,na,na,na,0,na,na,0,na,813.6461547,1450.652748,na,na,na,na,0
DE,2022,4,412,11/17/22,3,0,12/13/21,0,3/29/22,ERPVE,STEME,LAMAM,2.68,5/12/22,na,na,na,0,na,na,0,na,813.6461547,1450.652748,na,na,na,na,0
DE,2023,1,105,10/12/2022,1,0,12/8/22,0,4/4/23,VIORA,OEOLA,na,11.43,5/10/23,VIORA,OEOLA,na,0,26.4,0,0,1056,1455.98,2125.50,1.5,6.57,207,1.32,0
DE,2023,1,108,10/31/2022,2,0,12/8/22,0,4/4/23,VIORA,VERHE,VICSA,3.03,5/10/23,VIORA,VICSA,na,0,18.8,0,0,752,1159.67,1829.20,1.55,6.7,221,1.24,0
DE,2023,1,120,11/17/2022,3,0,12/8/22,0,4/4/23,VIORA,VERHE,na,10.46,5/10/23,VIORA,VICSA,na,0,34.4,0,0,1376,863.50,1533.03,1.7,6.68,202,1.3,0
DE,2023,2,207,10/31/2022,2,0,12/8/22,0,4/4/23,VIORA,OEOLA,na,6.48,5/10/23,VIORA,OEOLA,na,0,29.8,0,0,1192,1159.67,1829.20,1.55,6.7,221,1.24,0
DE,2023,2,210,10/12/2022,1,0,12/8/22,0,4/4/23,VIORA,OEOLA,HLOUM,33.22,5/10/23,VIORA,OEOLA,na,0,29.2,0,0,1168,1455.98,2125.50,1.5,6.57,207,1.32,0
DE,2023,2,218,11/17/2022,3,0,12/8/22,0,4/4/23,VIORA,na,na,17.35,5/10/23,VIORA,OEOLA,na,0,24.2,0,0,968,863.50,1533.03,1.7,6.68,202,1.3,0
DE,2023,3,301,11/17/2022,3,0,12/8/22,0,4/4/23,LAMAM,VIORA,HLOUM,2.72,5/10/23,VIORA,STEME,VERHE,0,7.6,0,0,304,863.50,1533.03,1.7,6.68,202,1.3,0
DE,2023,3,311,10/12/2022,1,0,12/8/22,0,4/4/23,VIORA,OEOLA,na,10.25,5/10/23,VIORA,STEME,OEOLA,0,34,0,0,1360,1285.61,1948.46,1.5,6.57,207,1.32,0
DE,2023,3,318,10/31/2022,2,0,12/8/22,0,4/4/23,VIORA,LAMAM,na,25.16,5/10/23,VIORA,OEOLA,na,0,21.6,0,0,864,1159.67,1829.20,1.55,6.7,221,1.24,0
DE,2023,4,406,10/12/2022,1,0,12/8/22,0,4/4/23,VIORA,OEOLA,na,12,5/10/23,VIORA,na,na,0,24.8,0,0,992,1455.98,2125.50,1.5,6.57,207,1.32,0
DE,2023,4,412,11/17/2022,3,0,12/8/22,0,4/4/23,VIORA,OEOLA,na,13.45,5/10/23,VIORA,STEME,OEOLA,0,30.4,0,0,1216,863.50,1533.03,1.7,6.68,202,1.3,0
DE,2023,4,420,10/31/2022,2,0,12/8/22,0,4/4/23,VIORA,CERFO,OEOLA,15.01,5/10/23,VIORA,STEME,OEOLA,0,33,0,0,1320,1159.67,1829.20,1.55,6.7,221,1.24,0
MA,2022,1,102,9/21/2022,1,0,na,0,na,na,na,na,na,5/25/22,CAPBP,ERICA,STEME,0,28.8,0,0,1152,na,1914.79,13.058,6.62,499,2.69,0
MA,2022,2,216,9/21/2022,1,0,na,0,na,na,na,na,na,5/25/22,CAPBP,STEME,na,0,42.3,0,0,1692,na,1914.79,13.058,6.62,499,2.69,0
MA,2022,3,321,9/21/2022,1,0,na,0,na,na,na,na,na,5/25/22,CAPBP,STEME,na,0,34.65,0,0,1386,na,1914.79,13.058,6.62,499,2.69,0
MA,2022,1,124,10/06/2022,2,0,na,0,na,na,na,na,na,5/25/22,CHEAL,CAPBP,STEME,0,34.75,0,0,1390,na,1595.04,7.9085,6.8,478,1.68,0
MA,2022,2,206,10/06/2022,2,0,na,0,na,na,na,na,na,5/25/22,CHEAL,CAPBP,STEME,0,11.75,0,0,470,na,1595.04,7.9085,6.8,478,1.68,0
MA,2022,3,315,10/06/2022,2,0,na,0,na,na,na,na,na,5/25/22,CAPBP,CHEAL,STEME,0,26.9,0,0,1076,na,1595.04,7.9085,6.8,478,1.68,0
MA,2022,1,112,11/01/2022,3,0,11/26/21,0,na,na,na,na,na,5/25/22,CHEAL,STEME,CAPBP,0,14.8,0,0,592,na,1149.91,6.256,6.77,489,2.18,0
MA,2022,2,224,11/01/2022,3,0,11/26/21,0,na,na,na,na,na,5/25/22,CHEAL,STEME,LOLMU,0,21.4,0,0,856,na,1149.91,6.256,6.77,489,2.18,0
MA,2022,3,302,11/01/2022,3,0,11/26/21,0,na,na,na,na,na,5/25/22,CHEAL,STEME,LOLMU,0,13.7,0,0,548,na,1149.91,6.256,6.77,489,2.18,0
MA,2023,1,106,9/21/2022,1,0,10/10/22,0,4/13/22,CAPBP,na,na,5.16,5/31/22,CAPBP,STEME,na,0,26.5,0,0,1060,1150.70,1935.59,3.55,6.83,526,2.39,0
MA,2023,1,112,10/28/2022,3,0,11/17/22,0,4/13/22,na,na,na,0.11,5/31/22,CHEAL,STEME,na,0,10.1,0,0,404,603.18,1388.07,2.75,6.86,561,2.25,0
MA,2023,1,125,10/6/2022,2,0,10/27/22,0,4/13/22,CAPBP,na,na,2.75,5/31/22,CAPBP,STEME,MATMT,0,11.8,0,0,472,913.89,1698.78,3.05,7.01,547,2.24,0
MA,2023,2,205,10/6/2022,2,0,10/27/22,0,4/13/22,CAPBP,na,na,3.22,6/1/22,CAPBP,STEME,na,0,18.9,0,0,756,913.89,1698.78,3.05,7.01,547,2.24,0
MA,2023,2,213,9/21/2022,1,0,10/10/22,0,4/13/22,CAPBP,na,na,4.55,6/1/22,CAPBP,STEME,na,0,18.3,0,0,732,1150.70,1935.59,3.55,6.83,526,2.39,0
MA,2023,2,221,10/28/2022,3,0,11/17/22,0,4/13/22,na,na,na,4.81,6/1/22,CHEAL,STEME,na,0,7.7,0,0,308,603.18,1388.07,2.75,6.86,561,2.25,0
MA,2023,3,306,10/28/2022,3,0,11/17/22,0,4/13/22,na,na,na,0,6/1/22,CHEAL,STEME,na,0,7.1,0,0,284,603.18,1388.07,2.75,6.86,561,2.25,0
MA,2023,3,311,10/6/2022,2,0,10/27/22,0,4/13/22,na,na,na,5.34,6/1/22,STEME,CAPBP,na,0,13.6,0,0,544,913.89,1698.78,3.05,7.01,547,2.24,0
MA,2023,3,321,9/21/2022,1,0,10/10/22,0,4/13/22,CAPBP,na,na,9.04,6/1/22,CAPBP,STEME,na,0,19.1,0,0,764,1150.70,1935.59,3.55,6.83,526,2.39,0
NY,2022,1,4.2,9/30/2022,1,0,10/21/21,0,5/9/22,CIRAR,grass,na,4.99,5/31/22,grass 1,CIRAR,TAROF,0,37.8,0,0,1512,1087.83,1607.62,48.324,5.16,39,3.87,0
NY,2022,2,6.6,9/30/2022,1,0,10/21/21,0,5/9/22,grass 1 ,TAROF,chamomile?,8.44,5/31/22,grass 1,grass 2,CIRAR,0,35.9,0,0,1436,1087.83,1607.62,48.324,5.16,39,3.87,0
NY,2022,3,1.8,9/30/2022,1,0,10/21/21,0,5/9/22,MELAL,CIRAR,grass,13.79,5/31/22,MELAL,grass,CIRAR,0,77.2,0,0,3088,1087.83,1607.62,48.324,5.16,39,3.87,0
NY,2022,1,3.3,10/21/2022,2,0,11/16/21,0,5/9/22,grass 1 ,TAROF,na,1.9,5/31/22,grass 1,TAROF,DAUCA,0,16.8,0,0,672,691.5178995,1211.304381,28.6895,5.38,37,4.51,0
NY,2022,2,6.5,10/21/2022,2,0,11/16/21,0,5/9/22,na,na,na,0.04,5/31/22,grass,CHEAL,GALAP,0,5.9,0,0,236,691.5178995,1211.304381,28.6895,5.38,37,4.51,0
NY,2022,3,4.7,10/21/2022,2,0,11/16/21,0,5/9/22,grass,SOOCA,na,1.57,5/31/22,SOOCA,CHEAL,na,0,11.5,0,0,460,691.5178995,1211.304381,28.6895,5.38,37,4.51,0
NY,2022,1,6.1,11/04/2022,3,0,12/3/21,2,5/9/22,TAROF,grass,aster,3.27,5/31/22,grass ,aster,TAROF,0,19.3,0,0,772,565.5997575,1085.386239,31.193,5.26,48,4.62,0
NY,2022,2,6.4,11/04/2022,3,0,12/3/21,0,5/9/22,daisy,grass,na,0.6,5/31/22,daisy,grass,na,0,12.8,0,0,512,565.5997575,1085.386239,31.193,5.26,48,4.62,0
NY,2022,3,5.9,11/04/2022,3,0,12/3/21,2,5/9/22,SOOCA,TAROF,grass,4.54,5/31/22,grass 1,grass 2,SOOCA,0,22.1,0,0,884,565.5997575,1085.386239,31.193,5.26,48,4.62,0
NY,2023,1,601,9/30/22,1,0,10/19/22,0,5/2/23,VER_sp,STEME,VIOAR,23.36,5/24/23,CHEAL,VIOAR,STEME,0,74.2,0,0,2968,1029.625464,1314.573475,27,6.6,15*,3.92,0
NY,2023,1,602,10/25/22,3,0,11/16/22,0,5/2/23,VER_sp,STEME,VIOAR,23.36,5/24/23,VIOAR,CHEAL,TRFRE,0,0.5,0,0,20,777.2196632,1062.167674,13.4,6.61,119,3.39,0
NY,2023,1,403,10/12/22,2,0,10/31/22,0,5/2/23,VER_sp,STEME,VIOAR,23.36,5/24/23,VIOAR,STEME,na,0,44.1,0,0,1764,901.3908129,1186.338824,19.15,6.5,121,3.35,0
NY,2023,2,204,10/25/22,3,0,11/16/22,0,5/2/23,VER_sp,STEME,VIOAR,23.36,5/24/23,VIOAR,CHEAL,na,0,2,0,0,80,777.2196632,1062.167674,13.4,6.61,119,3.39,0
NY,2023,2,605,10/12/22,2,0,10/31/22,0,5/2/23,VER_sp,STEME,VIOAR,23.36,5/24/23,VIOAR,na,na,0,6.9,0,0,276,901.3908129,1186.338824,19.15,6.5,121,3.35,0
NY,2023,2,106,9/30/22,1,0,10/19/22,0,5/2/23,VER_sp,STEME,VIOAR,23.36,5/24/23,CAPBP,VIOAR,STEME,0,57.7,0,0,2308,1029.625464,1314.573475,27,6.6,15*,3.92,0
NY,2023,3,207,10/25/22,3,0,11/16/22,0,5/2/23,VER_sp,STEME,VIOAR,23.36,5/24/23,VIOAR,CHEAL,STEME,0,8.6,0,0,344,777.2196632,1062.167674,13.4,6.61,119,3.39,0
NY,2023,3,508,10/12/22,2,0,10/31/22,0,5/2/23,VER_sp,STEME,VIOAR,23.36,5/24/23,CHEAL,ANTAR,VER_sp,0,29.8,0,0,1192,901.3908129,1186.338824,19.15,6.5,121,3.35,0
NY,2023,3,109,9/30/22,1,0,10/19/22,0,5/2/23,VER_sp,STEME,VIOAR,23.36,5/24/23,STEME,VIOAR,na,0,69.8,0,0,2792,1029.625464,1314.573475,27,6.6,15*,3.92,0
PA,2022,1,116,10/07/2022,1,0,10/28/21,0,4/11/22,THLAR,CARHI,na,3,10/26/22,LEPCA,VIOAR,CERVU,0,14,0,0,560,869.27,1566.61,12.8875,5.74,20,2.39,0
PA,2022,2,212,10/07/2022,1,0,10/28/21,0,4/11/22,THLAR,VIOAR,CARHI,1.15,10/26/22,VIOAR,LEPCA,ERICA,0,10.6,0,0,424,869.27,1566.61,12.8875,5.74,20,2.39,0
PA,2022,3,308,10/07/2022,1,0,10/28/21,0,4/11/22,THLAR,CARHI,na,7.44,10/26/22,LEPCA,VIOAR,SETFA,0,21,0,0,840,869.27,1566.61,12.8875,5.74,20,2.39,0
PA,2022,1,101,10/22/2022,2,0,11/11/21,0,4/11/22,THLAR,CERVU,na,1.56,10/26/22,LEPCA,SETFA,VIOAR,0,7.8,0,0,312,744.21,1424.26,19.774,5.51,21,2.18,0
PA,2022,2,218,10/22/2022,2,0,11/11/21,0,4/11/22,CERVU,na,na,0.18,10/26/22,CERVU,SETFA,VIOAR,0,2.7,0,0,108,744.21,1424.26,19.774,5.51,21,2.18,0
PA,2022,3,318,10/22/2022,2,0,11/11/21,0,4/11/22,na,na,na,0,10/26/22,SETFA,VIOAR,CERVU,0,1.6,0,0,64,744.21,1424.26,19.774,5.51,21,2.18,0
PA,2022,1,108,11/01/2022,3,0,12/16/21,0,4/11/22,THLAR,na,na,0.74,10/26/22,SETFA,VIOAR,VERAR,0,10.4,0,0,416,497.57,1160.31,8.8115,5.44,25,2.29,0
PA,2022,2,205,11/01/2022,3,0,12/16/21,0,4/11/22,THLAR,CARHI,na,0.64,10/26/22,SETFA,VERAR,LEPCA,0,5,0,0,200,497.57,1160.31,8.8115,5.44,25,2.29,0
PA,2022,3,301,11/01/2022,3,0,12/16/21,0,4/11/22,CARHI,VIOAR,na,0.11,10/26/22,SETFA,VIOAR,CERVU,0,3.9,0,0,156,497.57,1160.31,8.8115,5.44,25,2.29,0
PA,2023,1,106,10/24/22,2,0,11/29/22,0,4/11/23,POLAV,na,na,0.23,5/24/23,VERPG,AMBEL,STEME,0,13.6,0,0,544,679.8112328,1304.555266,29.6,5.83,39,2.53,0
PA,2023,1,108,10/10/22,1,0,11/1/22,0,4/11/23,POLAV,na,na,0.1,5/24/23,VERPG,CHEAL,CAPBP,0,14.8,0,0,592,805.1613401,1429.905374,15.75,5.88,62,2.46,0
PA,2023,1,116,11/9/22,3,0,na,na,4/11/23,LAMAM,POAAN,na,0.01,5/24/23,CAPBP,LAMAM,CHEAL,0,13.3,0,0,532,460.964738,1085.708771,29.7,5.88,41,2.52,0
PA,2023,2,206,10/10/22,1,0,11/1/22,0,4/11/23,ERICA,na,na,0.3,5/24/23,ERICA,AMBEL,POLAV,0,3.8,0,0,152,805.1613401,1429.905374,15.75,5.88,62,2.46,0
PA,2023,2,211,11/9/22,3,0,na,na,4/11/23,na,na,na,0,5/24/23,VERPG,AMBEL,CHEAL,0,2.8,0,0,112,460.964738,1085.708771,29.7,5.88,41,2.52,0
PA,2023,2,216,10/24/22,2,0,11/29/22,0,4/11/23,POLAV,na,na,0,5/24/23,CHEAL,POLAV,POLCO,0,4.8,0,0,192,679.8112328,1304.555266,29.6,5.83,39,2.53,0
PA,2023,3,303,11/9/22,3,0,na,na,4/11/23,POAAN,na,na,0.01,5/24/23,POATR,AMBEL,VERPG,0,4.3,0,0,172,460.964738,1085.708771,29.7,5.88,41,2.52,0
PA,2023,3,307,10/24/22,2,0,11/29/22,0,4/11/23,na,na,na,0,5/24/23,CHEAL,SETFA,POLAV,0,2.4,0,0,96,679.8112328,1304.555266,29.6,5.83,39,2.53,0
PA,2023,3,314,10/10/22,1,0,11/1/22,0,4/11/23,na,na,na,0,5/24/23,CHEAL,SETFA,na,0,2.4,0,0,96,805.1613401,1429.905374,15.75,5.88,62,2.46,0
UMD,2023,1,101,10/24/22,1,0,11/5/22,0,3/28/23,LAMAM,POANN,ARBTH,11.71,5/8/23,VIORA,UK,na,0,38.9,0,0,1556,1114.47,1858.45,9.5,6.61,46,2.17,0
UMD,2023,1,107,10/31/22,2,0,11/14/22,0,3/28/23,LAMAM,POANN,na,1.62,5/8/23,LAMAM,POANN,na,0,29.6,0,0,1184,1004.59,1748.57,11.95,6.37,70,2.11,0
UMD,2023,1,113,11/14/22,3,0,12/12/22,0,3/28/23,VIORA,na,na,3.4,5/8/23,POANN,VIORA,na,0,19.9,0,0,796,723.17,1467.14,9.25,6.3,44,1.98,0
UMD,2023,2,206,10/31/22,2,0,11/14/22,0,3/28/23,VERPE,POANN,na,2.31,5/8/23,POANN,LAMAM,na,0,38.4,0,0,1536,1004.59,1748.57,11.95,6.37,70,2.11,0
UMD,2023,2,209,11/14/22,3,0,12/12/22,0,3/28/23,POANN,VERPE,ALLVI,0.3,5/8/23,VERPE,LAMAM,na,0,5.3,0,0,212,723.17,1467.14,9.25,6.3,44,1.98,0
UMD,2023,2,214,10/24/22,1,0,11/5/22,0,3/28/23,POANN,VERPE,ARBTH,11.75,5/8/23,VIORA,POANN,LAMAM,0,47.6,0,0,1904,1114.47,1858.45,9.5,6.61,46,2.17,0
UMD,2023,3,306,11/14/22,3,0,12/12/22,0,3/28/23,VERPE,POANN,na,1.8,5/8/23,VERPE,POANN,na,0,28,0,0,1120,723.17,1467.14,9.25,6.3,44,1.98,0
UMD,2023,3,312,10/31/22,2,0,11/14/22,0,3/28/23,POANN,ALLVI,VIORA,0.24,5/8/23,VERPE,VIORA,na,0,6.8,0,0,272,1004.59,1748.57,11.95,6.37,70,2.11,0
UMD,2023,3,317,10/24/22,1,0,11/5/22,0,3/28/23,VIORA,ALLVI,POANN,7.19,5/8/23,VERPE,VIORA,ERICA,0,53.3,0,0,2132,1114.47,1858.45,9.5,6.61,46,2.17,0
VT,2022,1,104,9/20/22,1,0,10/5/21,0,4/5/22,STEME,brassica,CERVU,8.44,5/20/22,SAWOF,PLAMA,STEME,0,54.88,0,0,2195.2,893.38,1451.35,17.9205,6.94,48,3.65,0
VT,2022,2,201,9/20/22,1,0,10/5/21,0,4/5/22,PLALA,na,na,2.57,5/20/22,CAPBP,MELAL,CIRVU,0,23.13,0,0,925.2,893.38,1451.35,17.9205,6.94,48,3.65,0
VT,2022,3,304,9/20/22,1,0,10/5/21,0,4/5/22,PLALA,STEME,brassica,3.41,5/20/22,SAWOF,TAROF,na,0,60.52,0,0,2420.8,893.38,1451.35,17.9205,6.94,48,3.65,0
VT,2022,4,405,9/20/22,1,0,10/5/21,0,4/5/22,brassica,na,na,2.13,5/20/22,SAWOF,TAROF,TRFPR,0,35.37,0,0,1414.8,893.38,1451.35,17.9205,6.94,48,3.65,0
VT,2022,1,109,9/29/22,1.5,0,10/12/21,0,4/5/22,TAROF,PLALA,na,1.36,5/20/22,TAROF,MELAL,CAPBP,0,43.38,0,0,1735.2,675.28,1233.25,27.132,7.12,31,3.84,0
VT,2022,2,208,9/29/22,1.5,0,10/12/21,0,4/5/22,TRFPR,na,na,0.92,5/20/22,TRFPR,CERVU,CAPBP,0,12.32,0,0,492.8,675.28,1233.25,27.132,7.12,31,3.84,0
VT,2022,3,307,9/29/22,1.5,0,10/12/21,0,4/5/22,CERVU,na,na,0.16,5/20/22,CERVU,CHEAL,na,0,9.03,0,0,361.2,675.28,1233.25,27.132,7.12,31,3.84,0
VT,2022,4,411,9/29/22,1.5,0,10/12/21,0,4/5/22,PLALA,brassica,STEME,1.19,5/20/22,CERVU,CAPBP,TAROF,0,29.93,0,0,1197.2,675.28,1233.25,27.132,7.12,31,3.84,0
VT,2022,1,114,10/7/22,2,0,10/14/21,0,4/5/22,TAROF,na,na,0.01,5/20/22,CAPBP,CIRVU,CHEAL,0,5.84,0,0,233.6,563.57,1121.53,27.3615,7.06,50,3.85,0
VT,2022,2,213,10/7/22,2,0,10/14/21,0,4/5/22,STEME,na,na,0.06,5/20/22,STEME,TRFPR,CIRVU,0,11.96,0,0,478.4,563.57,1121.53,27.3615,7.06,50,3.85,0
VT,2022,3,316,10/7/22,2,0,10/14/21,0,4/5/22,TRFPR,na,na,0.01,5/20/22,TAROF,TRFPR,na,0,2.13,0,0,85.2,563.57,1121.53,27.3615,7.06,50,3.85,0
VT,2022,4,418,10/7/22,2,0,10/14/21,0,4/5/22,na,na,na,0.01,5/20/22,CAPBP,PLAMA,CIRVU,0,1.03,0,0,41.2,563.57,1121.53,27.3615,7.06,50,3.85,0
VT,2022,1,121,10/13/22,2.5,0,11/3/21,0,4/5/22,PLALA,na,na,0,5/20/22,CIRVU,TRFPR,TAROF,0,9.66,0,0,386.4,427.27,985.23,12.8805,6.6,81,3.43,0
VT,2022,2,223,10/13/22,2.5,0,11/3/21,0,4/5/22,PLALA,na,na,0.35,5/20/22,MELAL,CHEAL,bindweed,0,18.39,0,0,735.6,427.27,985.23,12.8805,6.6,81,3.43,0
VT,2022,3,322,10/13/22,2.5,0,11/3/21,0,4/5/22,STEME,na,na,0.09,5/20/22,CIRVU,bindweed,CHEAL,0,6.95,0,0,278,427.27,985.23,12.8805,6.6,81,3.43,0
VT,2022,4,419,10/13/22,2.5,0,11/3/21,0,4/5/22,STEME,na,na,41.09,5/20/22,DIGSA,STEME,PLAMA,0,2.5,0,0,100,427.27,985.23,12.8805,6.6,81,3.43,0
VT,2022,1,129,10/20/22,3,0,11/10/21,0,4/5/22,STEME,na,na,0.01,5/20/22,PLAMA,CERVU,TAROF,0,3.74,0,0,149.6,297.97,855.93,11.8755,6.05,51,3.27,0
VT,2022,2,230,10/20/22,3,0,11/10/21,9,4/5/22,TAROF,na,na,0.4,5/20/22,AGRRE,TAROF,CHEAL,0,24.33,0,0,973.2,297.97,855.93,11.8755,6.05,51,3.27,0
VT,2022,3,325,10/20/22,3,0,11/10/21,0,4/5/22,TRFPR,na,na,0.03,5/20/22,TRFRE,CAPBP,STEME,0,16.13,0,0,645.2,297.97,855.93,11.8755,6.05,51,3.27,0
VT,2022,4,428,10/20/22,3,0,11/10/21,0,4/5/22,na,na,na,0.02,5/20/22,STEME,PLAMA,bindweed,0,1.89,0,0,75.6,297.97,855.93,11.8755,6.05,51,3.27,0
VT,2023,1,103,9/12/22,1,0,9/29/22,0,4/6/23,na,na,na,0.46,5/30/23,CAPBP,CERFO,na,0,26.2,0,0,1048,978.71,1745.48,38.4,6.71,54,4.04,0
VT,2023,1,115,9/24/22,2,0,10/10/22,0,4/6/23,PLALA,na,na,1.23,5/30/23,CAPBP,MELAL,CHEAL,0,26.5,0,0,1060,743.41,1510.18,14.9,6.96,43,3.74,0
